StartSample,EndSample,StartTimeFromEpochSeconds,StartTimeRelativeToStimulusSeconds,MeanAbsoluteDifferenceHz,GroupAMeanAbsoluteDifferenceHz,GroupBMeanAbsoluteDifferenceHz,RootMeanSquaredDifferenceHz,MaximumAbsoluteDifferenceHz,MatchingPercentage
92,1341,0.364,-0.136,0.186452380952381,0.0626666666666666,0.255222222222222,0.399196743076067,1.94,52.6785714285714
178,1427,0.708,0.208,0.18675,0.0443333333333333,0.26587037037037,0.388618973223396,1.77,54.4642857142857
168,1417,0.668,0.168,0.186869047619048,0.0468333333333333,0.264666666666667,0.394630256927341,1.94,53.5714285714286
169,1418,0.672,0.172,0.186869047619048,0.0468333333333333,0.264666666666667,0.394630256927341,1.94,53.5714285714286
170,1419,0.676,0.176,0.186869047619048,0.0468333333333333,0.264666666666667,0.394630256927341,1.94,53.5714285714286
171,1420,0.68,0.18,0.186869047619048,0.0468333333333333,0.264666666666667,0.394630256927341,1.94,53.5714285714286
94,1343,0.372,-0.128,0.186869047619048,0.0626666666666666,0.25587037037037,0.399313528008749,1.94,52.6785714285714
174,1423,0.692,0.192,0.187047619047619,0.0451666666666666,0.26587037037037,0.395722295202879,1.94,54.4642857142857
95,1344,0.376,-0.124,0.187166666666667,0.0626666666666666,0.256333333333333,0.399546995467744,1.94,52.6785714285714
173,1422,0.688,0.188,0.187642857142857,0.0451666666666666,0.266796296296296,0.396113189290837,1.94,54.4642857142857
176,1425,0.7,0.2,0.187940476190476,0.0443333333333333,0.267722222222222,0.396063096223917,1.94,54.4642857142857
102,1351,0.404,-0.096,0.188,0.0726666666666666,0.252074074074074,0.38617593038193,1.94,52.6785714285714
175,1424,0.696,0.196,0.188238095238095,0.0451666666666666,0.267722222222222,0.396123207144059,1.94,54.4642857142857
179,1428,0.712,0.212,0.188238095238095,0.0443333333333333,0.268185185185185,0.388585785507412,1.77,53.5714285714286
100,1349,0.396,-0.104,0.189071428571429,0.0726666666666666,0.253740740740741,0.397363463622692,1.94,50.8928571428571
93,1342,0.368,-0.132,0.189428571428571,0.0626666666666666,0.259851851851852,0.400486935759814,1.94,51.7857142857143
